method,regime,n,abs_qop_fit_min,abs_qop_fit_p05,abs_qop_fit_median,abs_qop_fit_mean,abs_qop_fit_p95,abs_qop_fit_max,qop_sigma_min,qop_sigma_p05,qop_sigma_median,qop_sigma_mean,qop_sigma_p95,qop_sigma_max,abs_qop_over_sigma_min,abs_qop_over_sigma_p05,abs_qop_over_sigma_median,abs_qop_over_sigma_mean,abs_qop_over_sigma_p95,abs_qop_over_sigma_max,p_flip_min,p_flip_p05,p_flip_median,p_flip_mean,p_flip_p95,p_flip_max,p_flip_count_gt_1e_6,p_flip_count_gt_1e_4,p_flip_count_gt_1e_3,p_flip_fraction_gt_1e_6,p_flip_fraction_gt_1e_4,p_flip_fraction_gt_1e_3
baseline,all_tracks,1490,5.143767078746,9.838655738162,14.755164648941,16.339715644423,28.120334727163,40.071916476671,0.516307970071,1.36135795539,3.742415011339,6.301221511992,17.080786602348,658.168658665221,0.040247467702,0.989397721761,4.493510329641,4.429965341231,8.762311849426,16.014881028515,0.0,0.0,3.50324e-06,0.026037324571,0.161234350666,0.483947917256,808,625,472,0.542281879195,0.419463087248,0.31677852349
baseline,bulk_truth_txy_lt4,1131,7.594875294597,9.863521885067,14.539089234109,16.386952345435,29.240673952727,40.071916476671,0.516307970071,1.244607469421,3.053608217869,4.132046673363,11.06886439923,16.328400302949,0.988780735875,2.308423556264,5.217491280044,5.055771001795,8.840613257316,16.014881028515,0.0,0.0,9.0681e-08,0.001702218628,0.010487910109,0.161385215736,483,348,237,0.427055702918,0.307692307692,0.209549071618
baseline,transition_truth_txy_4_8,171,5.143767078746,9.629007775235,16.713049062999,17.285013811452,28.118896656469,31.153528289788,1.402864442812,1.62538930947,4.543572414395,6.727527133859,18.532145183042,21.452097736219,0.388764643342,0.622821839815,3.64920183972,4.048075235793,9.67395455612,10.005303015365,0.0,0.0,0.000131528181,0.038638883993,0.266719166077,0.348725128949,137,89,48,0.801169590643,0.520467836257,0.280701754386
baseline,near_window_truth_txy_ge4,359,5.143767078746,9.810013872179,15.404935305969,16.190900299453,25.873465970009,31.153528289788,1.402864442812,2.022077656871,11.375098511631,13.135028594136,22.1298494631,658.168658665221,0.040247467702,0.788266331671,1.028229337112,2.458416031767,8.035679559833,10.005303015365,0.0,0.0,0.151920980733,0.102703076162,0.215292813324,0.483947917256,325,277,235,0.905292479109,0.771587743733,0.654596100279
baseline,extreme_truth_txy_ge8,188,5.937883222609,10.229802898908,14.539980327292,15.195722583753,22.765153162155,26.489621832284,3.137520115507,10.027028591762,14.458841280857,18.963128326622,23.462732472387,658.168658665221,0.040247467702,0.871876710261,0.997403923709,1.012502606829,1.158746345997,3.535295675055,0.000203659557,0.123282537502,0.159284243937,0.160974229677,0.191639303793,0.483947917256,188,188,187,1.0,1.0,0.994680851064
replacement,all_tracks,1490,0.942907143841,9.494215420852,13.90505242674,14.918577929943,24.750086098635,39.322746937547,0.726376306598,1.242626922413,3.248663678789,5.321152851445,15.702991278638,658.236652585947,0.040243308265,0.986236686861,4.607785460779,4.790517743887,8.86370509826,18.255669591439,0.0,0.0,2.035112e-06,0.022168607333,0.162008490752,0.483949575288,781,549,346,0.524161073826,0.368456375839,0.232214765101
replacement,bulk_truth_txy_lt4,1131,7.288457300559,9.526392896512,13.510367214202,14.47109890948,23.703550822017,35.340779883771,0.726376306598,1.158409824947,2.603684271085,3.204716075552,6.385566968152,29.217781052336,0.693262350832,2.890101029108,5.222110828313,5.389086736236,8.844734787104,18.255669591439,0.0,0.0,8.8448e-08,0.000628447738,0.001925614317,0.244072462781,482,267,113,0.42617152962,0.236074270557,0.09991158267
replacement,transition_truth_txy_4_8,171,7.803766463193,11.153938661531,16.674123472835,18.25470288732,29.850783157003,39.322746937547,1.314519635634,1.565487851183,4.347431298752,5.016992239276,12.100101743361,17.546395608594,0.459741562122,2.18439591913,3.497786060287,4.970230583317,14.489142757439,17.80161825896,0.0,0.0,0.000234568649,0.007205053297,0.015111049396,0.322850866608,111,95,46,0.649122807018,0.555555555556,0.269005847953
replacement,near_window_truth_txy_ge4,359,0.942907143841,9.391691479663,15.738192622979,16.328323813351,25.651706932494,39.322746937547,1.314519635634,1.879316734202,9.912394803454,11.988813000567,21.495275424329,658.236652585947,0.040243308265,0.745740287646,1.452130236786,2.904775319522,9.060715901571,17.80161825896,0.0,0.0,0.073232697964,0.090029110124,0.227912261706,0.483949575288,299,282,233,0.83286908078,0.785515320334,0.649025069638
replacement,extreme_truth_txy_ge8,188,0.942907143841,4.696443464674,14.44703999173,14.576138591816,22.875246169069,26.489620521502,2.348584507843,7.997603221577,13.956988070638,18.330203161104,23.180540903825,658.236652585947,0.040243308265,0.439065803711,0.994180231404,1.026089946602,1.468783976767,4.430235384205,4.706514e-06,0.070948227631,0.160067566977,0.165363757556,0.330307984698,0.483949575288,188,187,187,1.0,0.994680851064,0.994680851064
