sample_label,method,n,pull_median_center,pull_width_std_ddof1,kappa,central_50_half_width,empirical_coverage,gaussian_reference_coverage_using_width
all_tracks,baseline,1490,-0.000523166966,1.000471189643,0.5,0.337244875098,0.220805369128,0.263947962051
all_tracks,baseline,1490,-0.000523166966,1.000471189643,0.7,0.472142825137,0.315436241611,0.363016437234
all_tracks,baseline,1490,-0.000523166966,1.000471189643,0.85,0.573316287667,0.385906040268,0.433386637253
all_tracks,baseline,1490,-0.000523166966,1.000471189643,1.0,0.674489750196,0.461744966443,0.499798086714
all_tracks,baseline,1490,-0.000523166966,1.000471189643,1.15,0.775663212725,0.523489932886,0.561836350244
all_tracks,baseline,1490,-0.000523166966,1.000471189643,1.3,0.876836675255,0.590604026846,0.619200268456
all_tracks,baseline,1490,-0.000523166966,1.000471189643,1.5,1.011734625294,0.668456375839,0.688107100279
all_tracks,replacement,1490,-0.074939277809,0.802154129946,0.5,0.337244875098,0.41677852349,0.325824286202
all_tracks,replacement,1490,-0.074939277809,0.802154129946,0.7,0.472142825137,0.510738255034,0.443866103633
all_tracks,replacement,1490,-0.074939277809,0.802154129946,0.85,0.573316287667,0.58322147651,0.525218453131
all_tracks,replacement,1490,-0.074939277809,0.802154129946,1.0,0.674489750196,0.640268456376,0.599566945179
all_tracks,replacement,1490,-0.074939277809,0.802154129946,1.15,0.775663212725,0.702013422819,0.666443607472
all_tracks,replacement,1490,-0.074939277809,0.802154129946,1.3,0.876836675255,0.763758389262,0.725651196292
all_tracks,replacement,1490,-0.074939277809,0.802154129946,1.5,1.011734625294,0.818120805369,0.792789170951
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,0.5,0.337244875098,0.646239554318,0.351913134866
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,0.7,0.472142825137,0.707520891365,0.477170682125
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,0.85,0.573316287667,0.721448467967,0.562201799873
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,1.0,0.674489750196,0.743732590529,0.638674943419
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,1.15,0.775663212725,0.763231197772,0.706175938923
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,1.3,0.876836675255,0.779944289694,0.764652468415
near_window_truth_txy_ge4,baseline,359,-9.3833507e-05,0.73888901153,1.5,1.011734625294,0.810584958217,0.82908344541
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,0.5,0.337244875098,0.573816155989,0.395715382979
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,0.7,0.472142825137,0.649025069638,0.531884377814
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,0.85,0.573316287667,0.682451253482,0.62169470399
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,1.0,0.674489750196,0.724233983287,0.700030039783
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,1.15,0.775663212725,0.766016713092,0.766727964749
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,1.3,0.876836675255,0.8356545961,0.822163737487
near_window_truth_txy_ge4,replacement,359,-0.010056744917,0.650739194205,1.5,1.011734625294,0.883008356546,0.879993596198
