threshold,pair_f1,ari,nmi,pair_precision,pair_recall,track_completeness_mean,track_purity_mean,n_pred_tracks,edge_f1,edge_precision,edge_recall,edge_auc
0.45,0.40034290612944706,0.40006975718624954,0.9230407915009946,0.47206395883109725,0.3475407617887829,0.561003127792672,0.9680075719128366,4275,0.7016533986527863,0.5508124218825113,0.9662674987350311,0.962179862184769
0.47500000000000003,0.4028285209192693,0.4025595246787634,0.9234877496024272,0.48032602585722317,0.3468642175766186,0.5604669347631814,0.9689831484173758,4295,0.7096132321850516,0.5620013789027873,0.9623882610895598,0.962179862184769
0.5,0.4087245900324767,0.408465853867764,0.9241644994550217,0.5016732283464567,0.3448345849401258,0.5589924039320822,0.9700468350290653,4324,0.7177444844806877,0.5740141557128412,0.9574970484061394,0.962179862184769
0.525,0.4146951494526221,0.41444746295098067,0.9248944024217715,0.5263322231473772,0.34212840809146877,0.5569816800714925,0.9712522454644649,4352,0.7243832105094522,0.5841256717651923,0.9532804857480183,0.962179862184769
0.55,0.4172745841844179,0.41703431746006836,0.9253706726687598,0.5435490877497828,0.3386103781882146,0.5541666666666666,0.9725846298227918,4386,0.7309671116900033,0.5953744960746871,0.9465339854950244,0.962179862184769
0.575,0.41574498507086083,0.4155075041013947,0.9253536345186053,0.5493442987330518,0.33441580407279614,0.5514857015192135,0.9733472166754268,4409,0.7375595553202752,0.6068822824784929,0.9399561477483556,0.962179862184769
0.6000000000000001,0.417939829674327,0.4177100960007715,0.9257250948631617,0.5687165152573957,0.3303565387998106,0.5486706881143878,0.9739105766687317,4442,0.743415291343887,0.6188873934499776,0.9306797099004891,0.962179862184769
0.625,0.4165865594686708,0.41636462630539955,0.9259007345590348,0.5881554595928439,0.3225086259387051,0.5429066130473638,0.9755196711696879,4491,0.7481994649838809,0.6305202312138728,0.9198853094956991,0.962179862184769
0.65,0.4147074421071239,0.4144894254395872,0.9260473402900469,0.5979355167579967,0.3174345443474731,0.5394213583556746,0.9768210145889373,4532,0.7547222610885687,0.6448296473401076,0.9097655591162085,0.962179862184769
0.675,0.41412505623031937,0.4139141850673123,0.926230048783512,0.6179352933279635,0.31141330085921115,0.5348637176050045,0.9781230944245923,4577,0.7580253959195321,0.6568179008530103,0.8961038961038961,0.962179862184769
0.7,0.4098853085745494,0.4096778620133098,0.9261468091310947,0.6261994159365875,0.3046478587375685,0.529635835567471,0.979156130012584,4626,0.7614739146296972,0.6710390946502057,0.8800809580030359,0.962179862184769
0.7250000000000001,0.4047838936091615,0.40458093163895087,0.9260909737900027,0.6375272727272727,0.29652932819159733,0.5242739052725648,0.9806332101021444,4685,0.7658459926663175,0.6883239171374764,0.8630460448642266,0.962179862184769
0.75,0.39714647768339045,0.3969481529464049,0.9258449516807887,0.6483297578915109,0.2862458561667005,0.5174374441465595,0.9823070130370521,4749,0.7659869180454021,0.704358901783187,0.8394332939787486,0.962179862184769
0.775,0.3877796487851817,0.38758970258469266,0.92551814758653,0.6712191872085277,0.2726473175021988,0.5073838248436103,0.9844142606042556,4842,0.7614277764528182,0.7201503759398497,0.8077247427896779,0.962179862184769
0.8,0.37756525204223945,0.3773889314296484,0.9252471693600892,0.7157695939565628,0.2564102564102564,0.4959897229669348,0.986607957454614,4963,0.7526685974348367,0.7387914230019493,0.7670770787653904,0.962179862184769
