"protocol_version","method_pair_label","method_label","profile","runtime_preset","regime_source","regime_label","tracks_requested_total","tracks_processed_total","method_tracks_valid_total","pair_tracks_valid_total","tracks_requested","tracks_processed","tracks_valid","tracks_metric","runtime_success_fraction","pair_metric_fraction","chi2_ndf_mean","chi2_ndf_median","dp_over_p_mean","dp_over_p_median","dp_over_p_sigma","qop_pull_mean","qop_pull_median","qop_pull_sigma","qop_pull_abs_lt2_fraction","forward_innovation_reduced_chi2_mean","forward_innovation_reduced_chi2_median","forward_innovation_reduced_chi2_sigma","forward_mean_nis_per_hit_mean","forward_mean_nis_per_hit_median","forward_mean_nis_per_hit_sigma","physics_success_composite_fraction","pseudo_hits_mean","triplet_hits_mean","layer3_recenter_hits_mean","transition_trigger_hits_mean","router_hits_mean","eta_damped_hits_mean","late_danger_pre_hits_mean","layer3_underrestore_hits_mean","l4_extension_hits_mean","global_circle_restore_hits_mean","near_boundary_policy_split_hits_mean","upper_band_history_guard_hits_mean","transition_covariance_shaping_hits_mean","bulk_covariance_shaping_hits_mean","transition_preinflation_enabled_mean","bulk_p1_shaping_enabled_mean","postinterp_ab_applied_mean","postinterp_outer_law_applied_mean","postinterp_transition_recenter_applied_mean","postinterp_covariance_propagated_mean"
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","all_tracks","120","120","120","120","120","120","120","120","1.0","1.0","1.650053232325068","0.8195950233408338","-0.1513268811052894","-0.1607998290225125","0.16047381850570336","0.07528919959536715","0.023319135273544116","0.9350921752491435","0.9916666666666667","0.6187699621219006","0.30734813375281267","0.5793483931252428","1.2375399242438012","0.6146962675056253","1.1586967862504856","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","bulk_truth_txy_lt4","120","120","120","120","94","94","94","94","1.0","1.0","1.898265279456566","2.3411651829414666","-0.1827371324683026","-0.16913720507960006","0.09484721820027084","0.13826247035518907","0.2546845508090465","0.979747110125587","0.9893617021276596","0.7118494797962123","0.87793694360305","0.5709917328743981","1.4236989595924245","1.7558738872061","1.1419834657487962","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","transition_truth_txy_4_8","120","120","120","120","14","14","14","14","1.0","1.0","1.2617912860252896","0.3347900856434111","-0.08616841762345974","-0.22319704882095304","0.3493773469669992","-0.2972893365108749","-0.24924609477889373","0.9376095665493419","1.0","0.4731717322594835","0.12554628211627916","0.5763387737564176","0.946343464518967","0.2510925642325583","1.1526775475128352","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","extreme_truth_txy_ge8","120","120","120","120","12","12","12","12","1.0","1.0","0.15869780047807655","0.0460053013139599","0.018701880509512367","2.3138965940868613e-05","0.05522511031164969","0.01667353743404479","2.2837510063889446e-05","0.05139878414715734","1.0","0.05951167517927869","0.017251987992734964","0.09816342411159569","0.11902335035855738","0.03450397598546993","0.19632684822319138","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","near_window_truth_txy_ge4","120","120","120","120","26","26","26","26","1.0","1.0","0.7526712157727296","0.17554704406905805","-0.03776674156208801","-0.005569157580140153","0.2643252481115958","-0.15238339469014275","-0.002285691480164944","0.7064591286933882","1.0","0.2822517059147736","0.06583014152589677","0.47521759752072323","0.5645034118295472","0.13166028305179353","0.9504351950414465","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","all_tracks","120","120","120","120","120","120","120","120","1.0","1.0","1.3387013557209952","0.8653727949685877","0.010925511184615318","-0.07725047580904168","0.9808270694593499","-0.018381868823757898","-0.03367392649067982","0.7512168381854507","0.9916666666666667","0.5020130083953732","0.32451479811322037","0.4557226526275404","1.0040260167907464","0.6490295962264407","0.9114453052550808","","0.016666666666666666","0.0","0.008333333333333333","","","1.1166666666666667","0.0","0.008333333333333333","","","","","0.025","0.0","1.0","0.0","1.0","0.7416666666666667","0.10833333333333334","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","bulk_truth_txy_lt4","120","120","120","120","94","94","94","94","1.0","1.0","1.5136209850395552","1.9243632133103543","-0.09801735611716351","-0.08181352844545399","0.10685649866112366","0.05224436150211042","0.010605389852713299","0.7758993198285327","0.9893617021276596","0.5676078693898333","0.7216362049913829","0.4473429043581511","1.1352157387796666","1.4432724099827658","0.8946858087163022","","0.0","0.0","0.0","","","0.0425531914893617","0.0","0.0","","","","","0.031914893617021274","0.0","1.0","0.0","1.0","0.9361702127659575","0.0425531914893617","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","transition_truth_txy_4_8","120","120","120","120","14","14","14","14","1.0","1.0","1.1210696469939097","0.32548484034171266","-0.12375230641383865","-0.19437776401426562","0.19046540795742417","-0.443150646939781","-0.6124512286621289","0.6005529653330242","1.0","0.4204011176227161","0.12205681512814226","0.47708447934947434","0.8408022352454322","0.24411363025628452","0.9541689586989487","","0.14285714285714285","0.0","0.07142857142857142","","","5.0","0.0","0.07142857142857142","","","","","0.0","0.0","1.0","0.0","1.0","0.07142857142857142","0.6428571428571429","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","extreme_truth_txy_ge8","120","120","120","120","12","12","12","12","1.0","1.0","0.2224012529072067","0.037746567100554115","1.0214354255800793","0.0002916741192653597","2.890188401646084","-0.07605709857436595","-0.01694012469218029","0.503757802777105","1.0","0.08340046984020251","0.014154962662707793","0.1643247803283386","0.16680093968040502","0.028309925325415587","0.3286495606566772","","0.0","0.0","0.0","","","5.0","0.0","0.0","","","","","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","near_window_truth_txy_ge4","120","120","120","120","26","26","26","26","1.0","1.0","0.7062996189538928","0.16339921718981704","0.4047958775833542","-0.04091686207135875","2.0495793518900927","-0.2737228553865125","-0.07592733934784587","0.5872130747271029","1.0","0.26486235710770983","0.06127470644618138","0.4040372835970975","0.5297247142154197","0.12254941289236276","0.808074567194195","","0.07692307692307693","0.0","0.038461538461538464","","","5.0","0.0","0.038461538461538464","","","","","0.0","0.0","1.0","0.0","1.0","0.038461538461538464","0.34615384615384615","1.0"
